sub_name,prime_name,prime_parent_name,subaward_amount,subaward_date,fiscal_year,naics_title,sub_state,subaward_number,cedar_uid
"HOLMES MECHANICAL, INC.",BERING P&L JV,BERING P&L JV,347721.00,2019-09-12,2019,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,WA,BPL-1420002.4390-HMI,CE-00079-SH
MILLE LACS BAND OF OJIBWE,MN DEPT OF EDUCATION,State of Minnesota,92476.85,2014-07-01,2014,,MN,341480000000-2015-10558021,
"R.L. BENTLEY MACHINERY REPAIR AND SERVICE, INC.","AGVIQ, LLC",TIKIGAQ CORPORATION,30776.90,2017-10-16,2018,REMEDIATION SERVICES,PA,SBR2-17-070,CE-000CN-TD
GEORGE MASON UNIVERSITY,UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,254424.00,2011-03-15,2011,,VA,0008292A,
ABSENTEE SHAWNEE TRIBE OF OKLAHOMA,SOUTHERN PLAINS TRIBAL HEALTH BOARD FOUNDATION,,145000.00,2023-10-13,2024,,OK,2055-S03,
QED ANALYTICS INC,"ANALYTICAL SERVICES, INC.",ANALYTICAL SERVICES  INC.,115228.96,2024-11-26,2025,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",AL,AIA6-00037 9,CE-00078-KR
"FINISHING EDGE ALASKA, LLC.","ASRC EARTHWORKS, LLC",ASRC CONSTRUCTION HOLDING COMPANY  LLC,30540.00,2024-03-21,2024,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",AK,9424-13-04,CE-00078-KR
BAY SHORE STEEL WORKS LLC,GENERAL DYNAMICS LAND SYSTEMS INC.,GENERAL DYNAMICS LAND SYSTEMS INC.,40121.70,2023-10-05,2024,"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",MI,40424904,
ARIZONA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,107941.00,2024-12-30,2025,,AZ,S003199-NSF A-2,CE-0016J-EB
"AMX, LLC","EYAK TECHNOLOGY, LLC",EYAK CORPORATION,61250.00,2011-04-20,2011,ELECTRONIC COMPUTER MANUFACTURING,TX,PO005510A,CE-0008V-A3
"SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY EDUCATIONAL SE, THE",TRANSPORTATION ARIZONA DEPARTMENT OF,State of Arizona,22720.00,2020-10-01,2021,,AZ,G1S20A1T,
"CORVID TECHNOLOGIES, LLC",RAYTHEON COMPANY,RAYTHEON COMPANY,220552.00,2025-07-18,2025,AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,NC,4203148098,
LITTLE TRAVERSE BAY BANDS OF ODAWA INDIANS,"ENTERPRISE COMMUNITY PARTNERS, INC.","ENTERPRISE COMMUNITY PARTNERS, INC.",50000.00,2015-08-01,2015,,MI,15SG0114,
"HAVEN OF THE DAN RIVER REGION, INC",DEPARTMENT OF CRIMINAL JUSTICE SERVICES VIRGINIA,,80613.00,2025-07-01,2025,,VA,26-F3421VPNC-23,
"ZEIDO TECHNOLOGIES, LLC","BSET, LLC",BSET  LLC,98104.72,2024-08-02,2024,ENGINEERING SERVICES,VA,S.365013.1.ZTL.22,CE-000CR-CR
STATE OF OKLAHOMA EAST CENTRAL UNIVERSITY,CHICKASAW NATION,CHICKASAW NATION,26823.64,2023-02-01,2023,,OK,205.2-006,CE-00135-HP
NAVAJO AREA AGENCY ON AGING,ARIZONA DEPARTMENT OF ECONOMIC SECURITY,,0.00,2020-04-01,2020,,AZ,DI16-002154,
METLAKATLA INDIAN COMMUNITY,AK DEPARTMENT OF EDUCATION & EARLY DEVELOPMENT,,205.26,2026-01-15,2026,,AK,CNP,
"GOLDBELT GLACIER HEALTH SERVICES, LLC","LEIDOS, INC.",LEIDOS  INC.,216817.26,2023-04-24,2023,OTHER INDIVIDUAL AND FAMILY SERVICES,VA,P010251401-0,
CDW GOVERNMENT LLC,"TYONEK GLOBAL SERVICES, LLC",TYONEK GLOBAL SERVICES LLC,12504.00,2021-06-04,2021,COMPUTER TRAINING,VA,TSG-CM0080,CE-000CW-4W
"HUMAN SERVICES, NORTH DAKOTA DEPARTMENT OF",ND DEPT OF PUBLIC INSTRUCTION,"NORTH DAKOTA, STATE OF",57410.64,2011-10-04,2012,,ND,I007-12-6,
BAD RIVER BAND OF LAKE SUPERIOR TRIBE OF CHIPPEWA INDIANS,WI DEPT OF HEALTH SERVICES,,9.58,2024-08-07,2024,,WI,66112,
LONEMAN SCHOOL,SD DEPT OF EDUCATION,"SOUTH DAKOTA, STATE OF",50148.80,2017-11-17,2018,,SD,NSLP-18-158,
PUYALLUP SCHOOL DISTRICT,"PUBLIC INSTRUCTION, WASHINGTON STATE SUPERINTENDENT OF",STEVENS COUNTY,235811.00,2023-11-27,2024,,WA,GT--01527,
"ASHER CONSTRUCTION, INC.","AKIMA CONSTRUCTION SERVICES, LLC",AKIMA CONSTRUCTION SERVICES  LLC,3625062.00,2017-11-22,2018,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,MD,A18-000927,CE-0007G-30
HONEYWELL BUILDING SOLUTIONS GMBH,ALUTIIQ COMMERCIAL ENTERPRISES LLC,ALUTIIQ COMMERCIAL ENTERPRISES LLC,795259.62,2019-06-23,2019,FACILITIES SUPPORT SERVICES,,ACE-D-20025-019,CE-0007J-FJ
"SENECA NATION OF INDIANS, THE",NY DEPT OF HEALTH,"NEW YORK, STATE OF",80156.00,2013-08-31,2013,,NY,01054,
FORT BELKNAP COMMUNITY COUNCIL,MT ST DEPT OF PHHS,,25127.00,2012-07-01,2012,,MT,13332749020,
BROWNING SCHOOL DISTRICT #9,"PUBLIC INSTRUCTION, MONTANA OFFICE OF",,317323.00,2012-07-01,2012,,MT,18-0400,
RFP HOLDINGS LLC,DEFENSE SYSTEMS AND SOLUTIONS,DEFENSE SYSTEMS AND SOLUTIONS,62020.00,2023-10-17,2024,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,AL,D23P001871,CE-0007B-53
"MAGNUM PAVING, INC.","KOMAN CONSTRUCTION, LLC",KOMAN CONSTRUCTION  LLC,313022.00,2023-09-27,2023,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,AZ,C20009-001003,CE-000B5-ND
SOKAOGAN CHIPPEWA COMMUNITY,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,"WISCONSIN, STATE OF",50000.00,2013-06-17,2013,,WI,65065,
LOUVIERE STRATTON & YOKEL LLC,"CHUGACH WORLD SERVICES, INC.",CHUGACH WORLD SERVICES  INC.,78245.00,2015-03-19,2015,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,MD,SC-C-AC068-0120,CE-0007C-BW
MISSION SOLUTIONS LLC,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,286872.61,2023-05-18,2023,SHIP BUILDING AND REPAIRING,NJ,4105604646,
QUINAULT INDIAN NATION,NORTHWEST INDIAN FISHERIES COMMISSION,NORTHWEST INDIAN FISHERIES COMMISSION,305571.00,2023-12-13,2024,,WA,PC-QIN25,
"SEQUOYAH, COUNTY OF",CHEROKEE NATION,THE CHEROKEE NATION,2069482.63,2023-09-30,2023,,OK,99F89660-D180-1800-0015-3FC3634F,CE-00134-BX
