org_name,city,state,ntee_code,bmf_revenue_amt,classification_ruling,EIN,cedar_uid
MARICOPA FRIENDS OF THE ARTS INC,MARICOPA,AZ,A20,0,UNRULED,933095741,
FARMERS EDUCATIONAL & COOPERATIVE UNION OF AMERICA NORTH DAKOTA,JAMESTOWN,ND,,,UNRULED,456023055,
BROWN WITH CROWNS,FAIRLESS HLS,PA,O50,0,UNRULED,843801694,
NATIVE AMERICAN CHURCH OF CROW CREEK AGENCY,FORT THOMPSON,SD,X20,,UNRULED,462093327,CE-0013V-NW
CHEROKEE COUNTY FAMILY RESOURCECENTER,CENTRE,AL,P28,231856,UNRULED,260297988,
PONCA CITY MAIN STREET INCORPORATED,PONCA CITY,OK,A80,300011,UNRULED,731568961,
INDIAN PRAIRIE GREAT BANQUET,AURORA,IL,X20,0,UNRULED,271217068,
MINNESOTA INDIAN GAMING ASSOCIATION,MINNEAPOLIS,MN,J03,465016,UNRULED,611995466,CE-000S4-NM
LITTLE CROW ARCHERY CLUB,WILLMAR,MN,N61,0,UNRULED,411636627,CE-0013W-VN
KOREAN-AMERICAN ASSOCIATION OF TACOMA,TACOMA,WA,Q99Z,64806,UNRULED,943195007,
MOJAVE OUTDOOR PROJECT,LAS VEGAS,NV,C50,0,UNRULED,932628380,
CENTRAL DAKOTA ENTERPRISES INC,MANDAN,ND,A34Z,507039,UNRULED,450340393,
CHEROKEE HEIGHTS ARTS FESTIVAL,MARIETTA,GA,,0,UNRULED,845021722,
HOKE NATIVE AMERICAN SCHOLARSHIP ASSOCIATION,RAEFORD,NC,B82,35969,UNRULED,261073163,
CARL AND DOROTHY CROW SCHOLARSHIP FUND,MILWAUKEE,WI,B82Z,,UNRULED,930690661,
CHABAD OF POMONA HEIGHTS,POMONA,NY,X30,,UNRULED,820694923,
FIRST BAPTIST CHURCH CROWLEY TX,CROWLEY,TX,,,UNRULED,751527938,
JICARILLA APACHE REFORMED CHURCH,DULCE,NM,,,UNRULED,850195668,CE-0015E-HQ
INDIAN ORCHARD CITIZENS COUNCIL INC,SPRINGFIELD,MA,S20,99943,UNRULED,042702761,
SHREE SWAMINARAYAN TEMPLE VADTAL DHAM-PEORIA,PEORIA,IL,X70,184973,UNRULED,990636972,
LAGUNA COTTAGES FOR SENIORS,SANTA BARBARA,CA,L22Z,588817,UNRULED,951770027,
INDIAN LAKE MUSIC BOOSTERS AND SUPPORTERS,RUSSELLS PT,OH,B11,83027,UNRULED,851556516,
NORTH DAKOTA LONG TERM CARE ASSOCIATION INC,BISMARCK,ND,,1687091,UNRULED,450347194,
TRIBE LACROSSE,LA CANADA,CA,N60,113603,UNRULED,462962661,
NORTH DAKOTA STATE FEDERATION OF FARM CREDIT SERVICES,BISMARCK,ND,,43500,UNRULED,450430258,
NORTHWEST INDIAN COMMUNITY DEVELOPMENT CENTER NWICDC,BEMIDJI,MN,,4912192,UNRULED,363505641,
OLD PUEBLO RIDERS,TUCSON,AZ,B12,0,UNRULED,200850142,
