candidate_id,name,publisher,url,contains,grain,feeds_cedar_dataset,join_identifier,access_route,terms_verbatim,terms_source_url,robots_posture,estimated_rows,refresh_cadence,measured_status,verdict,verdict_reason
fac_api_full,"Federal Audit Clearinghouse API - full table set (general, federal_awards, findings, findings_text, notes_to_sefa, corrective_action_plans)","GSA / Federal Audit Clearinghouse",https://api.fac.gov/,per-audit SEFA programme rows and findings for Single Audit filers above the threshold,one row per audit x federal award programme,fac_tribal_single_audits.csv,auditee UEI; EIN; report_id,"REST (PostgREST) with an api.data.gov key, 1000/hr","unkeyed request returns: ""{ \"error\": { \"code\": \"API_KEY_MISSING\", \"message\": \"No api_key was supplied. Get one at https://api.fac.gov:443\" } }""",https://api.fac.gov/,"api.fac.gov robots.txt is itself keyed and 403s - a fact about the route, not a prohibition; www.fac.gov robots allows all","6,780 tribal audits already held",continuous,ALREADY_IN_USE,REJECT,"NOT NEW. code/147_build_fac_single_audits.py already pages /general, /federal_awards, /findings_text, /notes_to_sefa and /corrective_action_plans on a hardcoded api.data.gov key. Its docstring records 127 federal_awards rows on one Seminole audit."
nhoa_member_list,"NHOA member directory (live origin)","Native Hawaiian Organizations Association",http://www.nhoassociation.org/nhoa-member-list.html,the only public roster of SBA-certified Native Hawaiian Organizations,one row per member NHO,_entity_layer (170 NHOs with no dated public record),organisation name + HI,HTML page,"robots.txt, verbatim: ""User-agent: *"" / ""Disallow: /ajax/"" / ""Disallow: /apps/"" / ""Disallow: /sba-private-session-with-nhoa-members.html"" / ""Disallow: /nhoa-member-list.html"" / ""Disallow: /businesssummit.html""",http://www.nhoassociation.org/robots.txt,"THE MEMBER LIST PAGE IS EXPLICITLY DISALLOWED for User-agent: *. /membership.html is allowed and was fetched (36,863 bytes) - it contains NO member names, only the eligibility sentence Cedar already quotes.",unmeasured,unstated,"VERIFIED: origin live, /membership.html 200 and nameless, /nhoa-member-list.html robots-disallowed",INVESTIGATE,"OWNER DECISION. One of the two named untried routes for the 170-NHO gap, and the publisher has disallowed exactly the page that holds the list. Cedar's shard H used a Wayback capture; whether Wayback is a different route or the same refusal is a TERMS-METHOD question. The site publishes a contact address - asking is the route back in."
sba_open_data,"SBA open data portal","U.S. Small Business Administration",https://data.sba.gov/dataset,"10 datasets: COVID-19 EIDL, EIDL Advance, HUBZone Qualified Indian Lands, PPP FOIA, RRF FOIA, SVOG, Small Business Size Standards, and three FOIA report series",dataset,native_owned_businesses.csv,n/a,HTML dataset index (Drupal; NOT CKAN - /api/3/action/* 404s),"robots.txt is the stock Drupal file, User-agent: * with /core/ and /profiles/ disallowed",https://data.sba.gov/robots.txt,ALLOWED,"10 datasets, both pager pages enumerated",unstated,VERIFIED_BY_PUBLISHER_ENUMERATION,REJECT,"MEASURED NEGATIVE, not a search miss: the publisher's own dataset index was walked (both pages) and contains NO 8(a) or HUBZone certified-FIRM roster. The only Native-relevant asset is 'HUBZone Qualified Indian Lands', a geography layer."
sba_dsbs_search,"SBA Small Business Search (successor to DSBS)","U.S. Small Business Administration",https://dsbs.sba.gov/search/dsp_dsbs.cfm,certified small-business profiles including 8(a) and HUBZone status,one row per firm,native_owned_businesses.csv,UEI; CAGE,React SPA; the underlying API was not located,"robots.txt returned HTTP 503 Service Temporarily Unavailable - a fact about that route on that day, not a prohibition",https://dsbs.sba.gov/robots.txt,"UNDETERMINED - robots 503, treated as not served (allowed) but re-check before any fetch","5,087 Native rows ALREADY ON DISK as data/raw/external/sba_dsbs_native_entities.csv, extracted 2026-04-30, 442 of them Hawaii; 1,257 carry an Active SBA certification value",unstated,ON_DISK_NOT_PROMOTED,REJECT,"CORRECTS KNOWN_ISSUES A3. 'The SBA 8(a) register remains untried' is wrong: a DSBS extract dated 2026-04-30 is on this machine and 01_build_entity_spine.py already loads it, alongside hawaii_nho_candidates.csv (444 rows). It has no DATE column, so it still cannot close A3, but it is not an acquisition task."
ak_corp_bulk,"Alaska DCCED corporations bulk download and entity search","Alaska Dept. of Commerce, Community and Economic Development",https://www.commerce.alaska.gov/cbp/DBDownloads/CorporationsDownload.CSV,"every Alaska corporation with registration date, status and biennial-report date",one row per corporation,_entity_layer (95 Alaska Native village and ANCSA-group corporations),entity name + AK,bulk CSV,"the host returns an HTML DataDome interstitial: ""Please enable JS and disable any ad blocker"" with a script from geo.captcha-delivery.com",https://www.commerce.alaska.gov/cbp/DBDownloads/CorporationsDownload.CSV,"robots.txt itself returns HTTP 403 with the same DataDome page - the posture is UNKNOWABLE by machine",unmeasured,unstated,"RE-CONFIRMED 403 to BOTH the declared UA and a browser UA, on robots.txt, on the bulk CSV and on /dcra/DCRAExternal/community",INVESTIGATE,"CONFIRMS KNOWN_ISSUES A1 independently. Host refuses automation, not publication. The route is a records request or a human download - see the two alternates below, neither of which replaces it."
ak_dcra_arcgis,"Alaska DCCED ArcGIS Online organisation (dcced.maps.arcgis.com)","Alaska DCCED",https://dcced.maps.arcgis.com/sharing/rest/search,"ArcGIS Online content search endpoint for the DCCED organisation, which hosts the DCRA Community Database",ArcGIS item,_entity_layer (Alaska),community name,"ArcGIS Portal REST search, no key","robots.txt served (61 bytes), User-agent: * with no blocking directive on this path",https://dcced.maps.arcgis.com/robots.txt,ALLOWED,"the generic q=community+database search returns Esri federal content, not DCCED's own; owner:DCCED_GIS returned an empty result","unstated",REACHABLE_QUERY_SHAPE_NOT_FOUND,INVESTIGATE,"The endpoint answers and the org exists; the right owner/group filter was not found in this pass. The DCRA Community Database Online names each community's ANCSA village corporation, which is the only non-CAPTCHA route to the 95 that was identified. Worth one more hour, not more."
wayback_ak_corp,"Wayback CDX index of the Alaska bulk corporations file","Internet Archive",https://web.archive.org/cdx/search/cdx?url=commerce.alaska.gov/cbp/DBDownloads*,archived captures of the bulk CSV,capture,_entity_layer (Alaska),n/a,CDX JSON,(not reached),https://web.archive.org/robots.txt,"robots.txt 404 -> allowed","UNMEASURED - the CDX query timed out at 30s","n/a",TIMEOUT_UNMEASURED,INVESTIGATE,"Not a negative. One 30s timeout on a known-slow endpoint. UNTAPPED_FREE_SOURCES already records the web.archive.org host lock as stale; whoever takes that lock should run this query."
opencorporates_ak,"OpenCorporates Alaska company register","OpenCorporates Ltd",https://opencorporates.com/companies/us_ak,mirrored state company registers with incorporation dates,one row per company,_entity_layer (Alaska),company name + jurisdiction,HTML / paid API,"robots.txt, verbatim: ""User-Agent: *"" / ""Disallow: /assets"" / ""Disallow: /data"" / ""Disallow: /events"" / ""Disallow: /filings"" / ""Disallow: /networks"" / ""Disallow: /officers"" / ""Disallow: /placeholders"" / ""Disallow: /search"" / ""Disallow: /statements"" / ""Disallow: /users"" / ""Disallow: /*?page="". /info/our-data redirects to /pricing/.",https://opencorporates.com/robots.txt,"Search, data, filings and pagination are all disallowed for User-agent: *","not measured",unstated,VERIFIED_200_BUT_ROUTES_DISALLOWED,REJECT,"The three routes that would enumerate Alaska corporations - /search, /data and ?page= pagination - are each named in robots.txt, and the data page redirects to pricing. Not free, not scrapable."
hi_dcca_portal,"Hawaii DCCA Business Registration Division portal","State of Hawaii, DCCA",https://hbe.dcca.hawaii.gov/,"Hawaii entity registrations with formation dates and status - the state register the 170 NHOs would appear in",one row per registered entity,_entity_layer (170 NHOs),entity name + HI,HTML search,"robots.txt, verbatim and complete: ""User-agent: *"" / ""Disallow: /""",https://hbe.dcca.hawaii.gov/robots.txt,"DISALLOWED for every agent token, including our own declared UA. The whole host.",unmeasured,unstated,VERIFIED_ROBOTS_DISALLOW_ALL,REJECT,"The publisher has disallowed the entire host to all robots. The predecessor hbe.ehawaii.gov 200s only to serve a 10-second redirect notice to this host. Closed by the publisher's own decision; a records request is the route."
hi_dhhl,"Dept. of Hawaiian Home Lands - homestead / beneficiary associations","State of Hawaii, DHHL",https://dhhl.hawaii.gov/,"DHHL publications and, per its sitemap, a WordPress post-type corpus back to 2016",page,_entity_layer (NHO - homestead associations are much of the 170),association name,"HTML + WordPress sitemap index (200, generated 2026-09-02)","robots.txt 76 bytes, no blocking directive on the probed paths",https://dhhl.hawaii.gov/robots.txt,ALLOWED,"sitemap index reachable; per-year post sitemaps 2016-2026 listed, contents not opened",continuous,SITEMAP_200_CONTENTS_NOT_OPENED,INVESTIGATE,"The guessed /homesteadassociations/ path 404s; the publisher's own sitemap answers 200 and was NOT walked. Per the mandate, that guessed 404 is not a negative. Highest-remaining lead for the 170 NHOs after the NHOA page and the state register both closed."
hi_oha_grants,"Office of Hawaiian Affairs grants awarded","Office of Hawaiian Affairs (State of Hawaii)",https://www.oha.org/grants/,OHA grant awards to Native Hawaiian organisations,one row per grant,grantmaker_funding_flows.csv / _entity_layer (NHO),grantee name,"HTML + Yoast sitemap index (200)","robots.txt 185 bytes, no blocking directive on /grants/",https://www.oha.org/robots.txt,ALLOWED,"grants page 200 (60 KB read); award rows not parsed",continuous,PAGE_200_NOT_PARSED,INVESTIGATE,"A state agency that grants specifically to Native Hawaiian organisations is a plausible DATED record for entities the IRS has never seen (KNOWN_ISSUES A3: 258 of the 170-plus return no IRS organisation at all). Not verified as tabular."
achp_section_106,"ACHP Section 106 digital library","Advisory Council on Historic Preservation",https://www.achp.gov/digital-library-section-106-landing,"Section 106 cases, agreement documents and case digests",document,section_106_consultation_events.csv,"agency + undertaking name; tribe name in the text","HTML; /sitemap.xml 404s so enumeration route is unresolved","robots.txt is the stock Drupal file (User-agent: *, /core/ and /profiles/ disallowed)",https://www.achp.gov/robots.txt,ALLOWED,"landing page 200 (51,985 bytes); no index enumerated",continuous,PAGE_200_ENUMERATION_UNRESOLVED,INVESTIGATE,"LOBBYING_EXPANSION_RECONCILIATION ranks Section 106 project consultation as Tier-1 new value and Cedar holds TWENTY rows of it. ACHP is the agency that runs the process and its digital library is reachable. The enumeration route (no sitemap.xml) is the open question."
nathpo_directory,"NATHPO Tribal Historic Preservation Officer directory","National Association of Tribal Historic Preservation Officers",https://www.nathpo.org/,"the roster of tribes with a federally approved THPO",one row per THPO,_entity_layer / section_106_consultation_events.csv,tribe name,"HTML + Yoast sitemap index (200)","robots.txt 216 bytes, no blocking directive",https://www.nathpo.org/robots.txt,ALLOWED,"sitemap index 200 (902 bytes, 5 child sitemaps); the guessed /thpos/thpo-map/ path 404s",continuous,SITEMAP_200_CONTENTS_NOT_OPENED,INVESTIGATE,"Guessed path 404, publisher enumeration available and not walked. A THPO roster is the party list for the Section 106 gap above."
ihs_locations,"IHS facility and service-unit locations","Indian Health Service",https://www.ihs.gov/locations/,IHS area offices and service units,one row per facility,_entity_layer (IHS service units) / gaming-adjacent labour,facility name + area,"HTML + sitemap.xml (200)","robots.txt, verbatim and complete: ""User-agent: *"" / ""Disallow: "" / ""SITEMAP: https://www.ihs.gov/sitemap.xml"" - an empty Disallow allows everything",https://www.ihs.gov/robots.txt,ALLOWED,"locations page 200; sitemap 200; facility rows not parsed",continuous,PAGE_AND_SITEMAP_200_NOT_PARSED,INVESTIGATE,"The brief names IHS service-unit registers as likely unheld and REFRESH_CADENCE records bie_uio as UNKNOWN_SOURCE_EDGE with 'no schedule stated'. The host is fully open and publishes a sitemap; this is a change-detection source, exactly as that row says."
hud_ihbg_formula,"HUD ONAP Indian Housing Block Grant formula allocations","HUD Office of Native American Programs",https://www.hud.gov/program_offices/public_indian_housing/ih/codetalk/onap/ihbgformula,per-tribe IHBG formula allocation by year,one row per tribe x year,federal_funding_transactions.csv,tribe name -> cedar_uid,HTML + XLSX,"robots.txt, verbatim: ""User-agent: *"" / ""Content-Signal: search=yes,ai-train=no,use=reference"" / ""Allow: /"". A separate group names ClaudeBot with Disallow: /.",https://www.hud.gov/robots.txt,"DISALLOWED for ClaudeBot and CCBot. ALLOWED for User-agent: * and for our declared UA. The Content-Signal permits 'reference' use and forbids 'ai-train'.",unmeasured,annual,"PAGE_200; PARTLY ON DISK (16 IHBG files in data/raw/external/federal_award_lists/, competitive rounds FY2018-FY2025)",INVESTIGATE,"OWNER DECISION on the Content-Signal wording before any fetch, and a check of the 16 IHBG objects already on disk. FEDERAL_AWARD_LISTS_LOG covers IHBG-COMPETITIVE; the FORMULA allocation - which is the per-tribe entitlement, far larger - is the part that is not obviously held."
treasury_slfrf_tribal,"Treasury coronavirus / SLFRF tribal government allocations","U.S. Treasury",https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments,per-recipient allocations to tribal governments,one row per recipient,federal_funding_transactions.csv,tribe name -> cedar_uid,HTML + XLSX,"robots.txt, verbatim and complete: ""User-agent: *"" / ""Allow: /"" / ""Sitemap: https://home.treasury.gov/sitemap.xml""",https://home.treasury.gov/robots.txt,ALLOWED,"page 200 (60 KB read); allocation files not enumerated",closed programme,PAGE_200_FILES_NOT_ENUMERATED,INVESTIGATE,"Wholly open host with a sitemap. Whether the tribal allocation tables are still posted was not established - do that before treating it as a gap."
cdfi_awards,"CDFI Fund awards and certification lists","Treasury CDFI Fund",https://www.cdfifund.gov/awards/state-awards,"CDFI programme awards by state and year; the certification list",one row per award,_entity_layer (Native CDFIs) / federal_funding_transactions.csv,organisation name + state,HTML; the guessed XLSX path 404s,"cdfifund.gov robots.txt is the stock Drupal file. amis.cdfifund.gov robots.txt, verbatim: ""User-agent: *    # applies to all robots"" / ""Allow: /      # allow all"" / ""Disallow: */secur/forgotpassword.jsp?*"" plus two sitemaps.",https://amis.cdfifund.gov/robots.txt,ALLOWED on both hosts,unmeasured,"awards announced annually; certification list updated continuously",PAGE_200_EXPORT_PATH_NOT_FOUND,INVESTIGATE,"THE WORKING ROUTE THE BRIEF ASKED FOR IS PROBABLY amis.cdfifund.gov, the Salesforce Awards Management Information System, which explicitly allows all robots AND PUBLISHES TWO SITEMAPS (https://amis.cdfifund.gov/s/sitemap.xml). The guessed static XLSX 404s; the sitemap was not walked."
ed_crdc,"ED Civil Rights Data Collection","U.S. Dept. of Education, Office for Civil Rights",https://civilrightsdata.ed.gov/,school-level civil rights data including BIE schools,one row per school x year,_entity_layer (116 BIE schools),NCES school id,bulk download,"robots.txt names fourteen agents with Disallow: / including, verbatim: ""User-agent: anthropic-ai"" / ""Disallow: /"" and ""User-agent: ClaudeBot"" / ""Disallow: /"". The User-agent: * group carries ""Crawl-delay: 10"", ""Disallow: /404"" and ""Disallow: /assets"".",https://civilrightsdata.ed.gov/robots.txt,"DISALLOWED FOR ClaudeBot, anthropic-ai and CCBot. The downloads live under /assets, which is disallowed for * as well.",unmeasured,biennial,VERIFIED_ROBOTS_REFUSES_THIS_CLIENT,REJECT,"THE EXACT TRAP THE BRIEF NAMES. A can_fetch() called with Cedar's own UA returns ALLOWED here. Asking per agent token shows the publisher has named ClaudeBot and anthropic-ai and refused them, and has separately put the download directory off limits to everyone."
nces_ccd_urban_api,"Urban Institute Education Data API (republishes NCES CCD)","Urban Institute",https://educationdata.urban.org/api/v1/,"NCES CCD school directory and finance, fips 59 = BIE",one row per school x year,_entity_layer (116 BIE schools),NCES school number,REST JSON API,"robots.txt, verbatim and complete: ""User-agent: *"" / ""Crawl-delay: 1"" / ""Allow: /"" / ""Disallow: /api/""",https://educationdata.urban.org/robots.txt,"DISALLOWED for every agent token on the /api/ path - the publisher has disallowed its own API to all robots",unmeasured,annual,VERIFIED_ROBOTS_DISALLOWS_THE_API_PATH,REJECT,"Two reasons. (1) The publisher disallows /api/ to User-agent: *. (2) It is a REPUBLICATION of NCES CCD, so under ASSERTION_LAYER it is the SAME EVIDENCE FAMILY as the CCD data code/1081 already loaded - it could not corroborate anything and could not beat CCD's 2024 edge."
